"Exposure","Statistics","Fukuoka","Kitakyushu","Kumamoto","Kagoshima","Nagasaki","Oita","Miyazaki","Saga"
"SPM","Mean ± SD","31.6 ± 17.7","30.1 ± 17.7","27.7 ± 13.8","28.1 ± 14.5","30.4 ± 16.3","19 ± 10.3","26.6 ± 11.9","29.3 ± 17.7"
"SPM","Median, IQR","27.8, 18.9","26.1, 19.4","25.6, 13.4","25.2, 15.5","26.8, 17","16.8, 11.3","24.3, 14.5","25.5, 20.6"
"SPM","75th percentile","39","37.6","32.9","33.9","36.8","23.5","32.8","37.7"
"SPM","80th percentile","41.9","41.5","34.8","36.4","40.4","25.7","35.8","40.8"
"SPM","85th percentile","46.3","45.8","37.8","40","44.2","27.8","38.3","45.3"
"SPM","Maximum","221.7","190.1","188.3","196.7","163.1","129.5","152.3","160.6"
"SPMout","Mean ± SD","31.1 ± 16","29.7 ± 16.2","27.4 ± 11.9","27.7 ± 13.2","30.1 ± 15.3","18.8 ± 9.1","26.5 ± 11.3","29.1 ± 16.8"
"SPMout","Median, IQR","27.7, 18.8","26, 19.3","25.6, 13.3","25.1, 15.3","26.8, 16.8","16.8, 11.3","24.3, 14.5","25.5, 20.5"
"SPMout","75th percentile","38.8","37.5","32.8","33.7","36.6","23.5","32.7","37.6"
"SPMout","80th percentile","41.6","41.3","34.7","36.3","40.2","25.6","35.7","40.6"
"SPMout","85th percentile","46.1","45.5","37.8","39.7","44","27.8","38.3","45.1"
"SPMout","Maximum","131.6","130.4","82.8","106.7","124","56","71.8","114.8"
"SuHiout","Mean ± SD","32.8 ± 79","22.8 ± 58.7","33.6 ± 106.5","19.6 ± 59.3","36.7 ± 130.8","49.7 ± 107.3","35.4 ± 129.7","28.6 ± 68.8"
"SuHiout","Median, IQR","4.7, 25.4","3.2, 16.4","5.8, 21.7","1.9, 10.9","5.2, 27.6","9, 46.8","3.5, 22.6","4.9, 23.1"
"SuHiout","75th percentile","26.1","16.9","22.3","11.1","28.3","47.8","23","23.8"
"SuHiout","80th percentile","36.4","25","31","17","37.8","67.6","34","35.7"
"SuHiout","85th percentile","54.9","39","46.8","27","53.7","95.5","52","51.6"
"SuHiout","Maximum","1117.5","1194.5","1555.5","1137","2869","1288.8","3375","1444"
