"Exposure","Statistics","Fukuoka","Kitakyushu","Kumamoto","Kagoshima","Nagasaki","Oita","Miyazaki","Saga"
"SPM (μg/m3)","Mean ± SD","31.6 ± 17.7","30.1 ± 17.7","27.7 ± 13.8","28.1 ± 14.5","30.4 ± 16.3","19 ± 10.3","26.6 ± 11.9","29.3 ± 17.7"
"SPM (μg/m3)","Median, IQR","27.8, 18.9","26.1, 19.4","25.6, 13.4","25.2, 15.5","26.8, 17","16.8, 11.3","24.3, 14.5","25.5, 20.6"
"SPM (μg/m3)","Max","221.7","190.1","188.3","196.7","163.1","129.5","152.3","160.6"
"Pollen count","Mean ± SD","32.8 ± 79","22.8 ± 58.7","33.6 ± 106.5","19.6 ± 59.3","36.7 ± 130.8","49.7 ± 107.3","35.4 ± 129.7","28.6 ± 68.8"
"Pollen count","Median, IQR","4.7, 25.4","3.2, 16.4","5.8, 21.7","1.9, 10.9","5.2, 27.6","9, 46.8","3.5, 22.6","4.9, 23.1"
"Pollen count","75th percentile","26.1","16.9","22.3","11.1","28.3","47.8","23","23.8"
"Pollen count","80th percentile","36.4","25","31","17","37.8","67.6","34","35.7"
"Pollen count","85th percentile","54.9","39","46.8","27","53.7","95.5","52","51.6"
"Pollen count","Maximum","1117.5","1194.5","1555.5","1137","2869","1288.8","3375","1444"
"SO2 (ppb)","Mean ± SD","4.8 ± 2.3","4.6 ± 2","3.1 ± 1.7","7.5 ± 7.7","4.1 ± 2.6","5.1 ± 1.6","2.3 ± 1.5","4.3 ± 2.2"
"NO2 (ppb)","Mean ± SD","19.6 ± 9","21.5 ± 8.6","12 ± 4.9","11.7 ± 6.1","15.2 ± 7.4","9.5 ± 4.1","19.6 ± 10","14 ± 7.4"
"Mean Temperature (°C)","Mean ± SD","11.3 ± 4.2","11.3 ± 4.2","11.4 ± 4.6","13.2 ± 4.1","11.7 ± 4.2","10.7 ± 4.1","12.6 ± 4.2","10.9 ± 4.4"
"Relative Humidity (%)","Mean ± SD","63.1 ± 13","63.1 ± 13","65.7 ± 12.5","65.7 ± 12.5","65.3 ± 12.5","64.1 ± 13.9","67.5 ± 14","65.7 ± 12.3"
