"I2","Q","p.Qtest","rr","cil","ciu","exposure","outcome","lag","quantile","iqrm","bisection_method"
0,4.865,0.676,1.0035,0.9988,1.0082,"spm","all","0",1,11.71,"perc75"
0,5.04,0.655,1.0001,0.9955,1.0048,"spm","all","1",1,11.71,"perc75"
33.937,7.56,0.373,0.9997,0.9934,1.006,"spm","all","2",1,11.71,"perc75"
1.331,6.454,0.488,0.9984,0.9916,1.0052,"spm","all","0",2,11.71,"perc75"
23.541,10.19,0.178,1.0038,0.9955,1.0122,"spm","all","1",2,11.71,"perc75"
0,3.645,0.82,1.004,0.9974,1.0107,"spm","all","2",2,11.71,"perc75"
8.655,7.549,0.374,1.0072,0.9979,1.0166,"spm","circ","0",1,11.71,"perc75"
37.752,8.768,0.27,1.0044,0.9925,1.0164,"spm","circ","1",1,11.71,"perc75"
10.105,5.424,0.608,1.0048,0.9957,1.0141,"spm","circ","2",1,11.71,"perc75"
0,3.614,0.823,1.0006,0.9883,1.0131,"spm","circ","0",2,11.71,"perc75"
48.168,12.675,0.08,0.9904,0.9709,1.0103,"spm","circ","1",2,11.71,"perc75"
0.565,5.621,0.585,1.0021,0.9896,1.0146,"spm","circ","2",2,11.71,"perc75"
23.39,9.43,0.223,1.0072,0.9929,1.0217,"spm","resp","0",1,11.71,"perc75"
28.121,7.581,0.371,1.0046,0.99,1.0195,"spm","resp","1",1,11.71,"perc75"
17.978,7.636,0.366,0.9963,0.9829,1.0099,"spm","resp","2",1,11.71,"perc75"
8.089,7.571,0.372,0.9877,0.9698,1.006,"spm","resp","0",2,11.71,"perc75"
0,3.079,0.878,1.0206,1.0042,1.0372,"spm","resp","1",2,11.71,"perc75"
39.959,7.955,0.337,1.0093,0.9856,1.0336,"spm","resp","2",2,11.71,"perc75"
0,4.915,0.67,1.0027,0.9982,1.0072,"spm","all","0",1,11.71,"perc80"
54.463,6.125,0.525,1.0006,0.9931,1.0082,"spm","all","1",1,11.71,"perc80"
0,5.149,0.642,1.0012,0.9968,1.0057,"spm","all","2",1,11.71,"perc80"
2.91,6.991,0.43,1,0.9924,1.0077,"spm","all","0",2,11.71,"perc80"
31.665,7.973,0.335,1.0048,0.9949,1.0147,"spm","all","1",2,11.71,"perc80"
0,3.648,0.819,1.0014,0.994,1.0088,"spm","all","2",2,11.71,"perc80"
10.748,8.205,0.315,1.0057,0.9966,1.0149,"spm","circ","0",1,11.71,"perc80"
42.452,9.913,0.194,1.0033,0.9912,1.0155,"spm","circ","1",1,11.71,"perc80"
0,5.552,0.593,1.0051,0.997,1.0132,"spm","circ","2",1,11.71,"perc80"
1.065,4.937,0.668,1.0033,0.9896,1.0173,"spm","circ","0",2,11.71,"perc80"
25.435,9.41,0.225,0.9929,0.9756,1.0104,"spm","circ","1",2,11.71,"perc80"
7.438,4.211,0.755,1.0004,0.9857,1.0153,"spm","circ","2",2,11.71,"perc80"
21.233,9.284,0.233,1.0053,0.9918,1.019,"spm","resp","0",1,11.71,"perc80"
7.236,7.291,0.399,1.0067,0.9949,1.0186,"spm","resp","1",1,11.71,"perc80"
31.661,9.593,0.213,0.9939,0.9794,1.0087,"spm","resp","2",1,11.71,"perc80"
24.032,9.415,0.224,0.9879,0.9651,1.0113,"spm","resp","0",2,11.71,"perc80"
0,2.352,0.938,1.0185,1.0003,1.037,"spm","resp","1",2,11.71,"perc80"
27.888,5.307,0.623,1.0172,0.994,1.0411,"spm","resp","2",2,11.71,"perc80"
0.546,6.469,0.486,1.0026,0.9983,1.007,"spm","all","0",1,11.71,"perc85"
8.803,4.353,0.738,1.0005,0.9958,1.0051,"spm","all","1",1,11.71,"perc85"
0,6.074,0.531,1.001,0.9968,1.0053,"spm","all","2",1,11.71,"perc85"
0,3.157,0.87,0.9997,0.9912,1.0083,"spm","all","0",2,11.71,"perc85"
29.995,10.451,0.164,1.0078,0.9968,1.019,"spm","all","1",2,11.71,"perc85"
0,3.401,0.846,1.0028,0.9942,1.0114,"spm","all","2",2,11.71,"perc85"
6.064,7.287,0.4,1.005,0.9967,1.0135,"spm","circ","0",1,11.71,"perc85"
50.29,11.296,0.126,1.0026,0.9899,1.0154,"spm","circ","1",1,11.71,"perc85"
25.168,6.585,0.473,1.0034,0.9936,1.0133,"spm","circ","2",1,11.71,"perc85"
0,4.07,0.772,1.0052,0.9892,1.0214,"spm","circ","0",2,11.71,"perc85"
0,7.898,0.342,0.9961,0.98,1.0124,"spm","circ","1",2,11.71,"perc85"
21.948,5.562,0.592,1.0076,0.9885,1.0271,"spm","circ","2",2,11.71,"perc85"
22.323,9.35,0.228,1.0025,0.9893,1.0158,"spm","resp","0",1,11.71,"perc85"
16.368,7.267,0.402,1.0076,0.9952,1.0201,"spm","resp","1",1,11.71,"perc85"
25.122,8.585,0.284,0.9934,0.9801,1.0069,"spm","resp","2",1,11.71,"perc85"
33.814,9.798,0.2,0.9928,0.9645,1.0219,"spm","resp","0",2,11.71,"perc85"
10.98,6.004,0.539,1.0186,0.9958,1.042,"spm","resp","1",2,11.71,"perc85"
13.492,4.6,0.709,1.0271,1.0037,1.0511,"spm","resp","2",2,11.71,"perc85"
0,4.567,0.713,1.0027,0.9981,1.0073,"spm","all","0",1,11.71,"abs25"
0,4.397,0.733,1.0002,0.9958,1.0048,"spm","all","1",1,11.71,"abs25"
0,5.841,0.558,1.0008,0.9963,1.0052,"spm","all","2",1,11.71,"abs25"
1.51,6.056,0.533,1.0001,0.9929,1.0073,"spm","all","0",2,11.71,"abs25"
