"I2","Q","p.Qtest","rr","cil","ciu","exposure","outcome","lag","quantile","iqrm","bisection_method"
0,4.743,0.691,1.0035,0.9988,1.0081,"spm","all","0",1,11.71,"perc75"
0,5.327,0.62,1.0005,0.996,1.0051,"spm","all","1",1,11.71,"perc75"
28.969,7,0.429,1.0002,0.9942,1.0061,"spm","all","2",1,11.71,"perc75"
11.2,7.186,0.41,0.9981,0.9908,1.0055,"spm","all","0",2,11.71,"perc75"
19.331,9.327,0.23,1.0043,0.9963,1.0122,"spm","all","1",2,11.71,"perc75"
0,4.747,0.691,1.0034,0.9968,1.01,"spm","all","2",2,11.71,"perc75"
4.58,7.248,0.403,1.0071,0.9982,1.016,"spm","circ","0",1,11.71,"perc75"
39.154,9.045,0.249,1.005,0.993,1.0171,"spm","circ","1",1,11.71,"perc75"
3.63,5.158,0.641,1.005,0.9964,1.0137,"spm","circ","2",1,11.71,"perc75"
0,2.652,0.915,0.9987,0.9865,1.011,"spm","circ","0",2,11.71,"perc75"
54.35,14.696,0.04,0.9921,0.9714,1.0131,"spm","circ","1",2,11.71,"perc75"
0,3.943,0.786,1.0024,0.9902,1.0148,"spm","circ","2",2,11.71,"perc75"
22.104,9.582,0.214,1.0069,0.9928,1.0212,"spm","resp","0",1,11.71,"perc75"
2.378,7.812,0.35,1.0039,0.9922,1.0157,"spm","resp","1",1,11.71,"perc75"
18.722,7.655,0.364,0.9967,0.9833,1.0103,"spm","resp","2",1,11.71,"perc75"
2.366,8.978,0.254,0.9865,0.9698,1.0035,"spm","resp","0",2,11.71,"perc75"
0,2.455,0.93,1.0221,1.006,1.0385,"spm","resp","1",2,11.71,"perc75"
31.237,7.125,0.416,1.0085,0.987,1.0305,"spm","resp","2",2,11.71,"perc75"
0,5.02,0.658,1.0025,0.9981,1.007,"spm","all","0",1,11.71,"perc80"
48.897,5.693,0.576,1.0004,0.9934,1.0075,"spm","all","1",1,11.71,"perc80"
0,5.801,0.563,1.0013,0.9969,1.0057,"spm","all","2",1,11.71,"perc80"
23.66,9.367,0.227,0.9992,0.9902,1.0083,"spm","all","0",2,11.71,"perc80"
20.826,7.32,0.396,1.0071,0.9983,1.0159,"spm","all","1",2,11.71,"perc80"
10.497,5.661,0.58,1.0021,0.9941,1.0101,"spm","all","2",2,11.71,"perc80"
5.455,8.242,0.312,1.0053,0.9967,1.014,"spm","circ","0",1,11.71,"perc80"
42.269,10.344,0.17,1.0028,0.9908,1.0149,"spm","circ","1",1,11.71,"perc80"
0,5.78,0.566,1.0051,0.9971,1.0131,"spm","circ","2",1,11.71,"perc80"
0,2.855,0.898,1.0011,0.9877,1.0147,"spm","circ","0",2,11.71,"perc80"
33.175,10.605,0.157,0.998,0.9797,1.0166,"spm","circ","1",2,11.71,"perc80"
0,2.292,0.942,1.0018,0.9883,1.0155,"spm","circ","2",2,11.71,"perc80"
18.901,9.03,0.251,1.004,0.9908,1.0173,"spm","resp","0",1,11.71,"perc80"
5.416,7.169,0.412,1.0063,0.9948,1.018,"spm","resp","1",1,11.71,"perc80"
26.262,8.899,0.26,0.9946,0.9807,1.0086,"spm","resp","2",1,11.71,"perc80"
53.071,13.341,0.064,0.9816,0.952,1.0121,"spm","resp","0",2,11.71,"perc80"
0,1.693,0.975,1.0203,1.0025,1.0384,"spm","resp","1",2,11.71,"perc80"
10.775,4.833,0.68,1.0155,0.9959,1.0355,"spm","resp","2",2,11.71,"perc80"
1.04,6.689,0.462,1.0026,0.9982,1.0069,"spm","all","0",1,11.71,"perc85"
13.702,4.093,0.769,1.0006,0.9958,1.0054,"spm","all","1",1,11.71,"perc85"
0,6.292,0.506,1.0011,0.9969,1.0053,"spm","all","2",1,11.71,"perc85"
0,4.404,0.732,1.0003,0.9918,1.0088,"spm","all","0",2,11.71,"perc85"
25.093,9.615,0.211,1.0095,0.9989,1.0201,"spm","all","1",2,11.71,"perc85"
0,4.423,0.73,1.0032,0.9947,1.0117,"spm","all","2",2,11.71,"perc85"
5.303,7.532,0.376,1.0051,0.9969,1.0135,"spm","circ","0",1,11.71,"perc85"
41.307,9.415,0.224,1.0029,0.9914,1.0144,"spm","circ","1",1,11.71,"perc85"
36.427,6.565,0.476,1.0043,0.9934,1.0152,"spm","circ","2",1,11.71,"perc85"
0,3.124,0.873,1.0019,0.986,1.018,"spm","circ","0",2,11.71,"perc85"
29.595,10.582,0.158,0.9976,0.9771,1.0185,"spm","circ","1",2,11.71,"perc85"
0,3.668,0.817,1.0054,0.9895,1.0216,"spm","circ","2",2,11.71,"perc85"
35.012,10.497,0.162,1.002,0.9873,1.0169,"spm","resp","0",1,11.71,"perc85"
10.752,6.511,0.481,1.0069,0.9953,1.0187,"spm","resp","1",1,11.71,"perc85"
26.477,9.132,0.243,0.9942,0.9809,1.0077,"spm","resp","2",1,11.71,"perc85"
28.584,9.709,0.206,0.9855,0.9589,1.0129,"spm","resp","0",2,11.71,"perc85"
0,2.638,0.916,1.0219,1.0014,1.0429,"spm","resp","1",2,11.71,"perc85"
0,3.383,0.847,1.0247,1.0039,1.046,"spm","resp","2",2,11.71,"perc85"
1.725,4.547,0.715,1.0027,0.9981,1.0074,"spm","all","0",1,11.71,"abs25"
0,4.735,0.692,1.0005,0.996,1.005,"spm","all","1",1,11.71,"abs25"
0,5.775,0.566,1.0008,0.9963,1.0053,"spm","all","2",1,11.71,"abs25"
5.629,6.285,0.507,0.9998,0.9925,1.0071,"spm","all","0",2,11.71,"abs25"
42.442,12.052,0.099,1.0038,0.9936,1.0142,"spm","all","1",2,11.71,"abs25"
0,3.595,0.825,1.0028,0.9959,1.0097,"spm","all","2",2,11.71,"abs25"
7.176,6.709,0.46,1.0064,0.9975,1.0154,"spm","circ","0",1,11.71,"abs25"
42.11,9.32,0.231,1.0046,0.9924,1.017,"spm","circ","1",1,11.71,"abs25"
0,5.437,0.607,1.0055,0.9973,1.0137,"spm","circ","2",1,11.71,"abs25"
0,3.261,0.86,1.0002,0.9874,1.0132,"spm","circ","0",2,11.71,"abs25"
62.792,17.661,0.014,0.9939,0.9699,1.0184,"spm","circ","1",2,11.71,"abs25"
0,3.105,0.875,1.0011,0.9882,1.0141,"spm","circ","2",2,11.71,"abs25"
26.571,8.568,0.285,1.0064,0.992,1.021,"spm","resp","0",1,11.71,"abs25"
0.5,7.35,0.393,1.0061,0.9948,1.0175,"spm","resp","1",1,11.71,"abs25"
33.502,9.204,0.238,0.9944,0.9793,1.0097,"spm","resp","2",1,11.71,"abs25"
32.167,10.45,0.164,0.9806,0.9577,1.0041,"spm","resp","0",2,11.71,"abs25"
0,1.057,0.994,1.0181,1.0013,1.0352,"spm","resp","1",2,11.71,"abs25"
10.883,4.803,0.684,1.0125,0.9938,1.0316,"spm","resp","2",2,11.71,"abs25"
0,6.03,0.536,1.0024,0.9981,1.0067,"spm","all","0",1,11.71,"abs50"
0,3.801,0.802,1.0013,0.9971,1.0056,"spm","all","1",1,11.71,"abs50"
0,4.248,0.751,1.0013,0.9971,1.0055,"spm","all","2",1,11.71,"abs50"
0,3.972,0.783,1.0001,0.9914,1.009,"spm","all","0",2,11.71,"abs50"
22.212,7.878,0.343,1.0047,0.9941,1.0154,"spm","all","1",2,11.71,"abs50"
0,5.55,0.593,1.0027,0.9939,1.0115,"spm","all","2",2,11.71,"abs50"
0,6.109,0.527,1.0044,0.9966,1.0122,"spm","circ","0",1,11.71,"abs50"
41.927,10.476,0.163,1.0043,0.9929,1.0159,"spm","circ","1",1,11.71,"abs50"
13.116,5.444,0.606,1.0044,0.9957,1.0132,"spm","circ","2",1,11.71,"abs50"
0,2.322,0.94,1.0039,0.9875,1.0206,"spm","circ","0",2,11.71,"abs50"
0,6.845,0.445,0.9918,0.9754,1.0085,"spm","circ","1",2,11.71,"abs50"
2.164,5.024,0.657,1.0043,0.9875,1.0213,"spm","circ","2",2,11.71,"abs50"
21.559,9.394,0.226,1.0018,0.9888,1.0149,"spm","resp","0",1,11.71,"abs50"
11.278,6.864,0.443,1.0078,0.9962,1.0196,"spm","resp","1",1,11.71,"abs50"
25.821,8.715,0.274,0.9952,0.982,1.0085,"spm","resp","2",1,11.71,"abs50"
31.286,9.859,0.197,0.9867,0.9587,1.0155,"spm","resp","0",2,11.71,"abs50"
0,3.231,0.863,1.0185,0.9974,1.0399,"spm","resp","1",2,11.71,"abs50"
0,3.18,0.868,1.0223,1.0008,1.0441,"spm","resp","2",2,11.71,"abs50"
0,6.683,0.463,1.0021,0.998,1.0063,"spm","all","0",1,11.71,"abs75"
58.417,5.551,0.593,1.0011,0.9938,1.0084,"spm","all","1",1,11.71,"abs75"
0,3.875,0.794,1.0015,0.9974,1.0056,"spm","all","2",1,11.71,"abs75"
0,5.48,0.602,1.0014,0.9911,1.0118,"spm","all","0",2,11.71,"abs75"
23.631,7.819,0.349,1.0088,0.9961,1.0217,"spm","all","1",2,11.71,"abs75"
1.633,5.871,0.555,1.0031,0.9926,1.0136,"spm","all","2",2,11.71,"abs75"
1.22,5.307,0.623,1.0052,0.9976,1.0129,"spm","circ","0",1,11.71,"abs75"
45.151,10.636,0.155,1.003,0.9916,1.0146,"spm","circ","1",1,11.71,"abs75"
0,5.358,0.616,1.0047,0.9973,1.0122,"spm","circ","2",1,11.71,"abs75"
9.73,6.567,0.475,0.9952,0.9741,1.0168,"spm","circ","0",2,11.71,"abs75"
0,6.119,0.526,0.993,0.9736,1.0128,"spm","circ","1",2,11.71,"abs75"
23.267,7.238,0.405,1.0024,0.9787,1.0265,"spm","circ","2",2,11.71,"abs75"
32.779,8.898,0.179,0.9973,0.9832,1.0115,"spm","resp","0",1,11.81,"abs75"
0,2.085,0.912,1.0085,0.9981,1.0191,"spm","resp","1",1,11.81,"abs75"
38.603,8.487,0.205,0.9954,0.9809,1.0101,"spm","resp","2",1,11.81,"abs75"
21.921,8.108,0.23,0.9972,0.967,1.0284,"spm","resp","0",2,11.81,"abs75"
0,4.926,0.553,1.0088,0.9839,1.0343,"spm","resp","1",2,11.81,"abs75"
0,3.21,0.782,1.0219,0.9966,1.0478,"spm","resp","2",2,11.81,"abs75"
