"I2","p.Qtest","outcome","lag","quantile","bisection_method"
23.618,0.237,"resp","0",1,"perc75"
32.988,0.455,"resp","1",1,"perc75"
19.839,0.296,"resp","2",1,"perc75"
9.418,0.315,"resp","0",2,"perc75"
0,0.997,"resp","1",2,"perc75"
28.521,0.512,"resp","2",2,"perc75"
9.971,0.409,"resp","0",1,"perc80"
0,0.91,"resp","1",1,"perc80"
34.337,0.198,"resp","2",1,"perc80"
55.228,0.052,"resp","0",2,"perc80"
0,0.963,"resp","1",2,"perc80"
11.214,0.685,"resp","2",2,"perc80"
31.059,0.205,"resp","0",1,"perc85"
0,0.916,"resp","1",1,"perc85"
32.041,0.186,"resp","2",1,"perc85"
24.954,0.177,"resp","0",2,"perc85"
0,0.985,"resp","1",2,"perc85"
8.746,0.661,"resp","2",2,"perc85"
