"rr","cil","ciu","outcome","lag","quantile","bisection_method"
1.0035,0.9988,1.0081,"all","0",1,"perc75"
1.0005,0.996,1.0051,"all","1",1,"perc75"
1.0002,0.9942,1.0061,"all","2",1,"perc75"
0.9981,0.9908,1.0055,"all","0",2,"perc75"
1.0043,0.9963,1.0122,"all","1",2,"perc75"
1.0034,0.9968,1.01,"all","2",2,"perc75"
1.0025,0.9981,1.007,"all","0",1,"perc80"
1.0004,0.9934,1.0075,"all","1",1,"perc80"
1.0013,0.9969,1.0057,"all","2",1,"perc80"
0.9992,0.9902,1.0083,"all","0",2,"perc80"
1.0071,0.9983,1.0159,"all","1",2,"perc80"
1.0021,0.9941,1.0101,"all","2",2,"perc80"
1.0026,0.9982,1.0069,"all","0",1,"perc85"
1.0006,0.9958,1.0054,"all","1",1,"perc85"
1.0011,0.9969,1.0053,"all","2",1,"perc85"
1.0003,0.9918,1.0088,"all","0",2,"perc85"
1.0095,0.9989,1.0201,"all","1",2,"perc85"
1.0032,0.9947,1.0117,"all","2",2,"perc85"
1.0027,0.9981,1.0074,"all","0",1,"abs25"
1.0005,0.996,1.005,"all","1",1,"abs25"
1.0008,0.9963,1.0053,"all","2",1,"abs25"
0.9998,0.9925,1.0071,"all","0",2,"abs25"
1.0038,0.9936,1.0142,"all","1",2,"abs25"
1.0028,0.9959,1.0097,"all","2",2,"abs25"
1.0024,0.9981,1.0067,"all","0",1,"abs50"
1.0013,0.9971,1.0056,"all","1",1,"abs50"
1.0013,0.9971,1.0055,"all","2",1,"abs50"
1.0001,0.9914,1.009,"all","0",2,"abs50"
1.0047,0.9941,1.0154,"all","1",2,"abs50"
1.0027,0.9939,1.0115,"all","2",2,"abs50"
1.0021,0.998,1.0063,"all","0",1,"abs75"
1.0011,0.9938,1.0084,"all","1",1,"abs75"
1.0015,0.9974,1.0056,"all","2",1,"abs75"
1.0014,0.9911,1.0118,"all","0",2,"abs75"
1.0088,0.9961,1.0217,"all","1",2,"abs75"
1.0031,0.9926,1.0136,"all","2",2,"abs75"
