"rr","cil","ciu","outcome","lag","quantile","bisection_method"
1.009,0.9996,1.0185,"circ","0",1,"perc75"
1.0055,0.9923,1.0189,"circ","1",1,"perc75"
1.0043,0.9961,1.0126,"circ","2",1,"perc75"
0.9963,0.9841,1.0087,"circ","0",2,"perc75"
0.9926,0.9727,1.013,"circ","1",2,"perc75"
0.9994,0.9869,1.0119,"circ","2",2,"perc75"
1.0071,0.998,1.0162,"circ","0",1,"perc80"
1.0032,0.9903,1.0162,"circ","1",1,"perc80"
1.0045,0.9966,1.0125,"circ","2",1,"perc80"
0.9984,0.9849,1.0121,"circ","0",2,"perc80"
0.9992,0.9827,1.0161,"circ","1",2,"perc80"
0.9982,0.9846,1.012,"circ","2",2,"perc80"
1.0067,0.9978,1.0157,"circ","0",1,"perc85"
1.0031,0.9908,1.0156,"circ","1",1,"perc85"
1.0033,0.9937,1.0131,"circ","2",1,"perc85"
0.999,0.9827,1.0156,"circ","0",2,"perc85"
0.9985,0.979,1.0184,"circ","1",2,"perc85"
1.0021,0.984,1.0205,"circ","2",2,"perc85"
1.008,0.9987,1.0174,"circ","0",1,"abs25"
1.0049,0.9917,1.0182,"circ","1",1,"abs25"
1.0049,0.9968,1.013,"circ","2",1,"abs25"
0.9982,0.9853,1.0112,"circ","0",2,"abs25"
0.9946,0.9703,1.0195,"circ","1",2,"abs25"
0.998,0.9851,1.0111,"circ","2",2,"abs25"
1.0058,0.9978,1.0139,"circ","0",1,"abs50"
1.0045,0.9921,1.017,"circ","1",1,"abs50"
1.0036,0.9957,1.0116,"circ","2",1,"abs50"
1.0001,0.9832,1.0172,"circ","0",2,"abs50"
0.9927,0.9758,1.0097,"circ","1",2,"abs50"
0.9994,0.9818,1.0173,"circ","2",2,"abs50"
1.0056,0.9979,1.0134,"circ","0",1,"abs75"
1.0039,0.9916,1.0164,"circ","1",1,"abs75"
1.0039,0.9966,1.0113,"circ","2",1,"abs75"
0.9968,0.977,1.017,"circ","0",2,"abs75"
0.991,0.9715,1.0108,"circ","1",2,"abs75"
0.9968,0.9725,1.0218,"circ","2",2,"abs75"
