"rr","cil","ciu","outcome","lag","quantile","bisection_method"
1.0061,0.9918,1.0206,"resp","0",1,"perc75"
1.0025,0.9873,1.0181,"resp","1",1,"perc75"
0.9975,0.984,1.0112,"resp","2",1,"perc75"
0.9907,0.9728,1.009,"resp","0",2,"perc75"
1.0208,1.0046,1.0374,"resp","1",2,"perc75"
1.0046,0.9831,1.0265,"resp","2",2,"perc75"
1.0038,0.9915,1.0163,"resp","0",1,"perc80"
1.0049,0.9935,1.0165,"resp","1",1,"perc80"
0.9951,0.9805,1.0099,"resp","2",1,"perc80"
0.9919,0.9661,1.0184,"resp","0",2,"perc80"
1.0189,1.001,1.0372,"resp","1",2,"perc80"
1.012,0.9925,1.032,"resp","2",2,"perc80"
1.0016,0.9863,1.0171,"resp","0",1,"perc85"
1.0052,0.9941,1.0164,"resp","1",1,"perc85"
0.9947,0.9807,1.0088,"resp","2",1,"perc85"
0.9939,0.9687,1.0198,"resp","0",2,"perc85"
1.0218,1.0009,1.0432,"resp","1",2,"perc85"
1.0216,0.9992,1.0446,"resp","2",2,"perc85"
1.0065,0.9946,1.0186,"resp","0",1,"abs25"
1.0045,0.993,1.016,"resp","1",1,"abs25"
0.9954,0.9804,1.0107,"resp","2",1,"abs25"
0.9894,0.9685,1.0108,"resp","0",2,"abs25"
1.0173,1.0003,1.0346,"resp","1",2,"abs25"
1.0089,0.9906,1.0275,"resp","2",2,"abs25"
1.001,0.9867,1.0155,"resp","0",1,"abs50"
1.0058,0.9939,1.0178,"resp","1",1,"abs50"
0.9955,0.982,1.0093,"resp","2",1,"abs50"
0.9961,0.9707,1.0221,"resp","0",2,"abs50"
1.0192,0.9976,1.0413,"resp","1",2,"abs50"
1.0195,0.9973,1.0423,"resp","2",2,"abs50"
1.0005,0.9852,1.016,"resp","0",1,"abs75"
1.0079,0.9978,1.0182,"resp","1",1,"abs75"
0.9966,0.9824,1.0109,"resp","2",1,"abs75"
1.0039,0.979,1.0295,"resp","0",2,"abs75"
1.0134,0.9886,1.0388,"resp","1",2,"abs75"
1.0206,0.9952,1.0467,"resp","2",2,"abs75"
