"exposure","bisection_method","lag","p-value (all-cause)","p-value (cardiovascular)","p-value (respiratory)"
"spm","perc75","0","0.206","0.109","0.192"
"spm","perc75","1","0.488","0.297","0.110"
"spm","perc75","2","0.674","0.514","0.587"
"spm","perc80","0","0.436","0.301","0.423"
"spm","perc80","1","0.336","0.717","0.199"
"spm","perc80","2","0.934","0.436","0.176"
"spm","perc85","0","0.572","0.420","0.614"
"spm","perc85","1","0.116","0.699","0.171"
"spm","perc85","2","0.768","0.907","0.046**"
"spm","abs25","0","0.480","0.227","0.171"
"spm","abs25","1","0.594","0.472","0.221"
"spm","abs25","2","0.822","0.383","0.269"
"spm","abs50","0","0.531","0.551","0.742"
"spm","abs50","1","0.468","0.272","0.291"
"spm","abs50","2","0.840","0.669","0.072*"
"spm","abs75","0","0.923","0.424","0.821"
"spm","abs75","1","0.282","0.275","0.691"
"spm","abs75","2","0.685","0.591","0.107"
