"model","exposure","bisection_method","lag","p-value (all-cause)","p-value (cardiovascular)","p-value (respiratory)"
"NO2-adjusted","spm","perc75","0","0.247","0.108","0.227"
"NO2-adjusted","spm","perc75","1","0.453","0.296","0.082*"
"NO2-adjusted","spm","perc75","2","0.845","0.493","0.548"
"NO2-adjusted","spm","perc80","0","0.446","0.260","0.420"
"NO2-adjusted","spm","perc80","1","0.246","0.634","0.199"
"NO2-adjusted","spm","perc80","2","0.931","0.413","0.178"
"NO2-adjusted","spm","perc85","0","0.541","0.369","0.639"
"NO2-adjusted","spm","perc85","1","0.135","0.644","0.180"
"NO2-adjusted","spm","perc85","2","0.842","0.923","0.060*"
"NO2-adjusted","spm","abs25","0","0.496","0.210","0.188"
"NO2-adjusted","spm","abs25","1","0.542","0.472","0.230"
"NO2-adjusted","spm","abs25","2","0.758","0.367","0.242"
"NO2-adjusted","spm","abs50","0","0.548","0.481","0.735"
"NO2-adjusted","spm","abs50","1","0.479","0.238","0.297"
"NO2-adjusted","spm","abs50","2","0.981","0.711","0.087*"
"NO2-adjusted","spm","abs75","0","0.876","0.376","0.819"
"NO2-adjusted","spm","abs75","1","0.190","0.241","0.683"
"NO2-adjusted","spm","abs75","2","0.672","0.642","0.090*"
"SO2-adjusted","spm","perc75","0","0.200","0.085*","0.371"
"SO2-adjusted","spm","perc75","1","0.718","0.473","0.075*"
"SO2-adjusted","spm","perc75","2","0.666","0.512","0.432"
"SO2-adjusted","spm","perc80","0","0.338","0.173","0.450"
"SO2-adjusted","spm","perc80","1","0.299","0.904","0.155"
"SO2-adjusted","spm","perc80","2","0.885","0.422","0.121"
"SO2-adjusted","spm","perc85","0","0.520","0.296","0.685"
"SO2-adjusted","spm","perc85","1","0.228","0.876","0.154"
"SO2-adjusted","spm","perc85","2","0.650","0.880","0.031**"
"SO2-adjusted","spm","abs25","0","0.401","0.159","0.244"
"SO2-adjusted","spm","abs25","1","0.792","0.649","0.186"
"SO2-adjusted","spm","abs25","2","0.667","0.360","0.166"
"SO2-adjusted","spm","abs50","0","0.523","0.382","0.814"
"SO2-adjusted","spm","abs50","1","0.705","0.411","0.254"
"SO2-adjusted","spm","abs50","2","0.941","0.543","0.047**"
"SO2-adjusted","spm","abs75","0","0.983","0.438","0.731"
"SO2-adjusted","spm","abs75","1","0.245","0.385","0.612"
"SO2-adjusted","spm","abs75","2","0.648","0.336","0.068*"
