"city","variable","mean","sd","median","iqr","p75","p80","p85","max","n","n_na"
"Fukuoka","SPM",31.6,17.7,27.8,18.9,39,41.9,46.3,221.7,2302,18
"Kagoshima","SPM",28.1,14.5,25.2,15.5,33.9,36.4,40,196.7,2314,6
"Kitakyushu","SPM",30.1,17.7,26.1,19.4,37.6,41.5,45.8,190.1,2314,6
"Kumamoto","SPM",27.7,13.8,25.6,13.4,32.9,34.8,37.8,188.3,534,1786
"Miyazaki","SPM",26.6,11.9,24.3,14.5,32.8,35.8,38.3,152.3,1133,1187
"Nagasaki","SPM",30.4,16.3,26.8,17,36.8,40.4,44.2,163.1,2260,60
"Oita","SPM",19,10.3,16.8,11.3,23.5,25.7,27.8,129.5,534,1786
"Saga","SPM",29.3,17.7,25.5,20.6,37.7,40.8,45.3,160.6,2279,41
"Fukuoka","SPMout",31,15.6,27.6,18.8,38.8,41.5,46,131.6,2291,29
"Kagoshima","SPMout",27.9,14.1,25.1,15.4,33.8,36.3,39.9,196.7,2311,9
"Kitakyushu","SPMout",29.6,15.7,26,19.2,37.4,41.1,45.5,115.5,2303,17
"Kumamoto","SPMout",27.7,13.8,25.6,13.4,32.9,34.8,37.8,188.3,534,1786
"Miyazaki","SPMout",26.6,11.9,24.3,14.5,32.8,35.8,38.3,152.3,1133,1187
"Nagasaki","SPMout",30.1,15.4,26.8,16.8,36.6,40.2,44,146.5,2254,66
"Oita","SPMout",19,10.3,16.8,11.3,23.5,25.7,27.8,129.5,534,1786
"Saga","SPMout",29.1,16.8,25.5,20.5,37.6,40.6,45.1,114.8,2274,46
"Fukuoka","SuHi",3248699.7,39239110.6,101.6,17685.8,17686.1,48242.2,165130.4,1395540984.4,2318,2
"Kagoshima","SuHi",1818411.4,35708203,6.3,1367.6,1367.6,4913,19683,1469878353,2029,291
"Kitakyushu","SuHi",1684383.8,36575085,32.8,4798.9,4799,15562.9,59408.1,1704348733.6,2317,3
"Kumamoto","SuHi",11248248.6,152840441,190.1,11108.3,11108.5,29779.7,102194.8,3763657078.9,2170,150
"Miyazaki","SuHi",30479990.8,855946371.6,41.1,12166.9,12167,39304,140229.7,38443359375,2208,112
"Nagasaki","SuHi",35381706.9,873534699.4,140.6,22664.9,22665.2,54010.2,154814.7,23615200909,2192,128
"Oita","SuHi",7815430.6,84911253.1,729,109214.4,109215.4,309560.6,870273,2140454669.9,2177,143
"Saga","SuHi",2937214.9,66877958,115.9,13439,13439.2,45499.3,137590.3,3010936384,2211,109
"Fukuoka","SuHiout",32.8,79,4.7,25.4,26.1,36.4,54.9,1117.5,2318,2
"Kagoshima","SuHiout",19.6,59.3,1.9,10.9,11.1,17,27,1137,2029,291
"Kitakyushu","SuHiout",22.8,58.7,3.2,16.4,16.9,25,39,1194.5,2317,3
"Kumamoto","SuHiout",33.6,106.5,5.7,21.7,22.3,31,46.8,1555.5,2170,150
"Miyazaki","SuHiout",35.4,129.7,3.4,22.6,23,34,52,3375,2208,112
"Nagasaki","SuHiout",36.7,130.8,5.2,27.6,28.3,37.8,53.7,2869,2192,128
"Oita","SuHiout",49.7,107.3,9,46.8,47.8,67.6,95.5,1288.8,2177,143
"Saga","SuHiout",28.6,68.8,4.9,23.1,23.8,35.7,51.6,1444,2211,109
