"dataset","variable","lag","lag_mismatches","ma_mismatches"
"lagdata","SPM",1,0,184
"lagdata","SPM",2,0,185
"lagdata","SPM",3,0,148
"lagdata","SPM",4,0,113
"lagdata","SPM",5,0,78
"lagdata","SPM",6,0,NA
"lagdata","SPM",7,0,NA
"lagdata","SPMout",1,0,161
"lagdata","SPMout",2,0,177
"lagdata","SPMout",3,0,170
"lagdata","SPMout",4,0,174
"lagdata","SPMout",5,0,179
"lagdata","SPMout",6,0,NA
"lagdata","SPMout",7,0,NA
"lagdata","SuHi",1,0,13075
"lagdata","SuHi",2,0,15830
"lagdata","SuHi",3,0,16463
"lagdata","SuHi",4,0,16495
"lagdata","SuHi",5,0,16437
"lagdata","SuHi",6,0,NA
"lagdata","SuHi",7,0,NA
"lagdata","SuHi05",1,0,15554
"lagdata","SuHi05",2,0,15963
"lagdata","SuHi05",3,0,15965
"lagdata","SuHi05",4,0,15855
"lagdata","SuHi05",5,0,15700
"lagdata","SuHi05",6,0,NA
"lagdata","SuHi05",7,0,NA
"lagdata","SuHi05out",1,0,15553
"lagdata","SuHi05out",2,0,15963
"lagdata","SuHi05out",3,0,15965
"lagdata","SuHi05out",4,0,15855
"lagdata","SuHi05out",5,0,15700
"lagdata","SuHi05out",6,0,NA
"lagdata","SuHi05out",7,0,NA
"subdata","SPM",1,154,0
"subdata","SPM",2,308,0
"subdata","SPM",3,462,0
"subdata","SPM",4,616,0
"subdata","SPM",5,770,0
"subdata","SPM",6,924,0
"subdata","SPM",7,1078,0
"subdata","SPMout",1,154,30
"subdata","SPMout",2,308,43
"subdata","SPMout",3,462,56
"subdata","SPMout",4,616,69
"subdata","SPMout",5,770,82
"subdata","SPMout",6,924,95
"subdata","SPMout",7,1078,106
"subdata","SuHi",1,148,12949
"subdata","SuHi",2,319,15655
"subdata","SuHi",3,497,16267
"subdata","SuHi",4,678,16296
"subdata","SuHi",5,862,16238
"subdata","SuHi",6,1045,16138
"subdata","SuHi",7,1229,16015
"subdata","SuHi05",1,164,15414
"subdata","SuHi05",2,347,15798
"subdata","SuHi05",3,528,15785
"subdata","SuHi05",4,710,15676
"subdata","SuHi05",5,893,15526
"subdata","SuHi05",6,1076,15358
"subdata","SuHi05",7,1261,15174
"subdata","SuHi05out",1,164,15414
"subdata","SuHi05out",2,347,15798
"subdata","SuHi05out",3,528,15785
"subdata","SuHi05out",4,710,15676
"subdata","SuHi05out",5,893,15526
"subdata","SuHi05out",6,1076,15358
"subdata","SuHi05out",7,1261,15174
